city,state,accommodates,bathrooms,bedrooms,beds,bed_type,DifAnosReview,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
Seattle,WA,Entire home/apt,1.0,1.0,1.0,Real Bed,5,95.0,10.0,10.0,10.0,10.0,9.0,10.0
Seattle,WA,Entire home/apt,1.0,1.0,1.0,Real Bed,2,96.0,10.0,10.0,10.0,10.0,10.0,10.0
Seattle,WA,Entire home/apt,4.5,5.0,7.0,Real Bed,1,97.0,10.0,10.0,10.0,10.0,10.0,10.0
Seattle,WA,Entire home/apt,2.0,3.0,3.0,Real Bed,3,92.0,9.0,9.0,10.0,10.0,9.0,9.0
Seattle,WA,Private room,1.0,1.0,1.0,Real Bed,0,95.0,10.0,10.0,10.0,10.0,10.0,10.0
Seattle,WA,Private room,1.0,1.0,1.0,Real Bed,1,99.0,10.0,10.0,10.0,10.0,10.0,10.0
Seattle,WA,Private room,1.0,1.0,1.0,Real Bed,3,97.0,10.0,10.0,10.0,10.0,9.0,10.0
Seattle,WA,Private room,1.0,1.0,1.0,Real Bed,0,97.0,10.0,9.0,10.0,9.0,10.0,10.0
Seattle,WA,Entire home/apt,1.0,1.0,1.0,Real Bed,1,97.0,10.0,10.0,10.0,10.0,10.0,9.0
Seattle,WA,Entire home/apt,1.0,1.0,1.0,Real Bed,4,97.0,10.0,10.0,10.0,10.0,10.0,10.0
